city_id,cn_name,route
11,金水,jinshui
11,管城,guanchenga
11,中原,zhongyuanb
11,二七,erqic
11,惠济,huiji
11,中牟,zhongmou
11,荥阳,zzxingyangshi
11,新郑,xinzhengshi
11,上街,zzshangjiequ
11,巩义,gongyishi
11,新密,xinmishi
11,登封,dengfengshi
11,郑州周边,zhengzhouzhoubian
12,武昌,wuchanga
12,洪山,hongshana
12,江岸,jiangan
12,汉阳,hanyang
12,东西湖,dongxihu
12,江夏,jiangxiat
12,江汉,jianghana
12,青山,qingshan
12,硚口,qiaokou
12,黄陂,huangpiz
12,沌口开发区,zhuankoukaifaqu
12,蔡甸,caidianz
12,新洲,xinzhouz
12,汉南,hannanz
12,其他,qitao
6,市中,shizhong
6,历下,lixia
6,天桥,tianqiao
6,历城,licheng
6,高新,gaoxind
6,槐荫,huaiyin
7,即墨,jimoshi
6,长清,changqingb
6,章丘,zhangqiu
6,济阳,jiyang
6,商河,shanghe
7,胶州,jiaozhoushi
7,莱西,laixishi
7,平度,pingdushi
6,平阴,pingyin
7,青岛周边,qingdaozhoubian
7,城阳,chengyangqu
7,崂山,laoshanqu
7,市南,shinanqu
7,李沧,licangqu
7,市北,shibeiqu
7,黄岛,huangdaoqu
